geoid,land,water
17193,316652.22073410003,4538.571880420869
17195,437919.231453522,7857.322961505957
17197,535254.4288658367,8246.925764666927
17199,268911.70042946876,15473.154247984858
17201,328574.755242336,3733.1832581309955
17203,337792.47367094486,9498.000177915717
18001,216977.97156313783,600.4544263947851
18003,420685.2577059745,1729.6385345675412
18005,260416.6751506106,1683.8069515624459
18007,260106.9599640215,58.32497294198465
18009,105650.95852092734,322.1178889311713
18011,270663.2161725387,216.94251839697938
18013,199671.81024300322,2971.6849606855685
18015,238222.87749020229,1788.8184913735588
18017,263778.8272883174,1723.4159323524905
18019,238616.31042338998,2279.267382612692
18021,228866.25531893864,1739.2002688504174
18023,259242.77242108696,113.94439145411503
18025,195592.3330681071,1987.158191783259
18027,274873.73692195927,4725.456773893834
18029,195247.32434529485,1490.8766302763129
18031,238443.16012908772,483.2067331214818
18033,232212.62361435778,656.6619551948918
18035,250945.69888753255,2435.940210434757
18037,273453.02753245726,5160.3371502844175
18039,296430.9877287576,3069.884058257513
18041,137613.24977884087,90.54130857010126
18043,94697.03869172643,669.2087198469925
18045,253225.77208008184,1416.9237384045903
18047,246035.34641672802,4236.245879521407
